mitre_id,name,tactic,description,url
T1585.001,Social Media Accounts,Resource Development,Adversaries may create and cultivate social media accounts that can be used during targeting. Adversaries can create social media accounts that can be used to build a persona to further operations. Persona development...,https://attack.mitre.org/techniques/T1585/001
T1055.012,Process Hollowing,Stealth|Privilege Escalation,Adversaries may inject malicious code into suspended and hollowed processes in order to evade process-based defenses. Process hollowing is a method of executing arbitrary code in the address space of a separate live p...,https://attack.mitre.org/techniques/T1055/012
T1068,Exploitation for Privilege Escalation,Privilege Escalation,"Adversaries may exploit software vulnerabilities in an attempt to elevate privileges. Exploitation of a software vulnerability occurs when an adversary takes advantage of a programming error in a program, service, or ...",https://attack.mitre.org/techniques/T1068
T1564.009,Resource Forking,Stealth,Adversaries may abuse resource forks to hide malicious code or executables to evade detection and bypass security applications. A resource fork provides applications a structured way to store resources such as thumbna...,https://attack.mitre.org/techniques/T1564/009
T1531,Account Access Removal,Impact,"Adversaries may interrupt availability of system and network resources by inhibiting access to accounts utilized by legitimate users. Accounts may be deleted, locked, or manipulated (ex: changed credentials, revoked p...",https://attack.mitre.org/techniques/T1531
T1110.004,Credential Stuffing,Credential Access,"Adversaries may use credentials obtained from breach dumps of unrelated accounts to gain access to target accounts through credential overlap. Occasionally, large numbers of username and password pairs are dumped onli...",https://attack.mitre.org/techniques/T1110/004
T1027,Obfuscated Files or Information,Stealth,"Adversaries may attempt to make an executable or file difficult to discover or analyze by encrypting, encoding, or otherwise obfuscating its contents on the system or in transit. This is common behavior that can be us...",https://attack.mitre.org/techniques/T1027
T1556.006,Multi-Factor Authentication,Defense Impairment|Persistence|Credential Access,Adversaries may disable or modify multi-factor authentication (MFA) mechanisms to enable persistent access to compromised accounts.,https://attack.mitre.org/techniques/T1556/006
T1114.002,Remote Email Collection,Collection,"Adversaries may target an Exchange server, Office 365, or Google Workspace to collect sensitive information. Adversaries may leverage a user's credentials and interact directly with the Exchange server to acquire info...",https://attack.mitre.org/techniques/T1114/002
T1505.004,IIS Components,Persistence,Adversaries may install malicious components that run on Internet Information Services (IIS) web servers to establish persistence. IIS provides several mechanisms to extend the functionality of the web servers. For ex...,https://attack.mitre.org/techniques/T1505/004
T1036.001,Invalid Code Signature,Stealth,"Adversaries may attempt to mimic features of valid code signatures to increase the chance of deceiving a user, analyst, or tool. Code signing provides a level of authenticity on a binary from the developer and a guara...",https://attack.mitre.org/techniques/T1036/001
T1683,Generate Content,Resource Development,"Adversaries may create or generate content to support targeting and operations. This content may be used to establish personas, impersonate known individuals or organizations, and support [Social Engineering](https://...",https://attack.mitre.org/techniques/T1683
T1564.006,Run Virtual Instance,Stealth,Adversaries may carry out malicious operations using a virtual instance to avoid detection. A wide variety of virtualization technologies exist that allow for the emulation of a computer or computing environment. By r...,https://attack.mitre.org/techniques/T1564/006
T1027.014,Polymorphic Code,Stealth,Adversaries may utilize polymorphic code (also known as metamorphic or mutating code) to evade detection. Polymorphic code is a type of software capable of changing its runtime footprint during code execution.(Citatio...,https://attack.mitre.org/techniques/T1027/014
T1201,Password Policy Discovery,Discovery,Adversaries may attempt to access detailed information about the password policy used within an enterprise network or cloud environment. Password policies are a way to enforce complex passwords that are difficult to g...,https://attack.mitre.org/techniques/T1201
T1546,Event Triggered Execution,Privilege Escalation|Persistence,Adversaries may establish persistence and/or elevate privileges using system mechanisms that trigger execution based on specific events. Various operating systems have means to monitor and subscribe to events such as ...,https://attack.mitre.org/techniques/T1546
T1546.004,Unix Shell Configuration Modification,Privilege Escalation|Persistence,Adversaries may establish persistence through executing malicious commands triggered by a user’s shell. User [Unix Shell](https://attack.mitre.org/techniques/T1059/004)s execute several configuration scripts at differ...,https://attack.mitre.org/techniques/T1546/004
T1187,Forced Authentication,Credential Access,Adversaries may gather credential material by invoking or forcing a user to automatically provide authentication information through a mechanism in which they can intercept.,https://attack.mitre.org/techniques/T1187
T1134.005,SID-History Injection,Stealth|Privilege Escalation,Adversaries may use SID-History Injection to escalate privileges and bypass access controls. The Windows security identifier (SID) is a unique value that identifies a user or group account. SIDs are used by Windows se...,https://attack.mitre.org/techniques/T1134/005
T1599,Network Boundary Bridging,Defense Impairment,Adversaries may bridge network boundaries by compromising perimeter network devices or internal devices responsible for network segmentation. Breaching these devices may enable an adversary to bypass restrictions on t...,https://attack.mitre.org/techniques/T1599
T1486,Data Encrypted for Impact,Impact,Adversaries may encrypt data on target systems or on large numbers of systems in a network to interrupt availability to system and network resources. They can attempt to render stored data inaccessible by encrypting f...,https://attack.mitre.org/techniques/T1486
T1690,Prevent Command History Logging,Defense Impairment,Adversaries may impair command history logging to hide commands they run on a compromised system. Various command interpreters keep track of the commands users type in their terminal so that users can retrace what the...,https://attack.mitre.org/techniques/T1690
T1553,Subvert Trust Controls,Defense Impairment,Adversaries may undermine security controls that will either warn users of untrusted activity or prevent execution of untrusted programs. Operating systems and security products may contain mechanisms to identify prog...,https://attack.mitre.org/techniques/T1553
T1548.004,Elevated Execution with Prompt,Privilege Escalation,Adversaries may leverage the <code>AuthorizationExecuteWithPrivileges</code> API to escalate privileges by prompting the user for credentials.(Citation: AppleDocs AuthorizationExecuteWithPrivileges) The purpose of thi...,https://attack.mitre.org/techniques/T1548/004
T1592.003,Firmware,Reconnaissance,"Adversaries may gather information about the victim's host firmware that can be used during targeting. Information about host firmware may include a variety of details such as type and versions on specific hosts, whic...",https://attack.mitre.org/techniques/T1592/003
